,Unnamed: 0,avg_rating_director,avg_rating_actor,avg_rating_2ndactor,runtime, Action, Adventure, Animation, Biography, Comedy, Crime, Drama, Family, Fantasy, History, Horror, Music, Musical, Mystery, Romance, Sci-Fi, Sport, Thriller, War, Western,rating_class
0,0,6.0,6.0,6.0,88.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0
1,1,7.0,7.0,7.0,90.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0
2,2,7.0,7.0,6.0,166.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,7.0
3,3,6.0,5.0,6.0,75.0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,6.0
4,4,6.0,6.0,7.0,99.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0
5,5,6.0,7.0,7.0,94.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0
6,6,5.0,5.0,5.0,101.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,6.0
7,7,1.0,1.0,1.0,100.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
8,8,5.0,5.0,5.0,93.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5.0
9,9,4.0,4.0,4.0,93.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0
10,10,6.0,6.0,6.0,97.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6.0
11,11,7.0,7.0,7.0,112.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0
12,12,6.0,5.0,6.0,102.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0
13,13,6.0,7.0,7.0,162.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7.0
14,14,7.0,8.0,8.0,450.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0
15,15,7.0,8.0,8.0,115.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8.0
16,16,5.0,5.0,5.0,118.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,5.0
17,17,6.0,6.0,6.0,131.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,7.0
18,18,4.0,5.0,5.0,98.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0
19,19,7.0,6.0,5.0,103.0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7.0
20,20,6.0,6.0,6.0,107.0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,7.0
21,21,6.0,6.0,7.0,121.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,7.0
22,22,6.0,6.0,6.0,104.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.0
23,23,6.0,6.0,5.0,90.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.0
24,24,6.0,6.0,6.0,123.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,7.0
25,25,5.0,6.0,6.0,108.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,6.0
